poi_id,名称,类型,类型名,地址,经度_gcj02,纬度_gcj02,经度_wgs84,纬度_wgs84
B0L1JU8JPA,29号院,120302,商务住宅;住宅区;住宅小区,郭杜北街37号,108.869021,34.163801,108.862521,34.157801
B0L3YZIL7Y,3507社区安置楼,120302,商务住宅;住宅区;住宅小区,昆明路与唐宝巷交叉口西南420米,108.864693,34.249571,108.858193,34.243571
B001D0VS7R,3G酷派智能产业园,120100,商务住宅;产业园区;产业园区,唐延南路8号酷派产业园,108.884967,34.187301,108.878467,34.181301
B0L1HCXEZ8,3TCOM产业社区,120100,商务住宅;产业园区;产业园区,普新一路与普丰路交叉口西20米,108.829344,34.186864,108.822844,34.180864
B0LAZ1X9BM,3号公寓楼,120300,商务住宅;住宅区;住宅区,创汇路与硕士路交叉口东南180米,108.861388,34.161907,108.854888,34.155907
B0FFIB9SU8,9号公馆,120000,商务住宅;商务住宅相关;商务住宅相关,丈八六路66号,108.854686,34.176832,108.848186,34.170832
B0LRMYWQFA,A3生产综合楼,120201,商务住宅;楼宇;商务写字楼,丈八四路与傅村西路交叉口西260米,108.866525,34.183925,108.860025,34.177925
B001D0VSFZ,CROSS万象汇,120203,商务住宅;楼宇;商住两用楼宇,高新六路21号,108.878117,34.227528,108.871617,34.221528
B0LKCZ0YMU,Cross万象汇,120201,商务住宅;楼宇;商务写字楼,高新六路与科技一路交叉口南140米,108.877673,34.227213,108.871173,34.221213
B0FFHEIZKS,Cross万象汇A座,120201|120203,商务住宅;楼宇;商务写字楼|商务住宅;楼宇;商住两用楼宇,高新六路21号正北方向80米,108.877671,34.227721,108.871171,34.221721
B0L03RDN9T,DK-1商品楼,120201,商务住宅;楼宇;商务写字楼,申店渡街与南长安街交叉口西120米,108.944275,34.142375,108.937775,34.136375
B0LGBL03I9,DK2连体楼,120201,商务住宅;楼宇;商务写字楼,沣东南路辅路与富源二路交叉口东南220米,108.834725,34.251425,108.828225,34.245425
B0M667AP56,DT51商业D区,120201,商务住宅;楼宇;商务写字楼,永阳一巷与唐延路交叉口东100米,108.891325,34.202325,108.884825,34.196325
B0L1PO9OFT,EastDistrictofDefuLaneCommunity,120000|170200,商务住宅;商务住宅相关;商务住宅相关|公司企业;公司;公司,湘子庙街与大车家巷交叉口东北200米,108.943975,34.253275,108.937475,34.247275
B0FFJ8GV52,E客公寓高新墅寓社区,120000,商务住宅;商务住宅相关;商务住宅相关,科技一路与高新六路交叉口东南160米,108.878675,34.227475,108.872175,34.221475
B0FFL49AWH,Fast,120302|170200,商务住宅;住宅区;住宅小区|公司企业;公司;公司,造字台路与锦业二路交叉口南140米,108.851603,34.181159,108.845103,34.175159
B0LK2UR5Q9,F栋山工国际,120201,商务住宅;楼宇;商务写字楼,纬二十六路与经三十路交叉口东北280米,108.824225,34.157425,108.817725,34.151425
B0GRG5P00W,Golden Time Plaza,120201,商务住宅;楼宇;商务写字楼,粉巷26号金时代精品,108.945444,34.255333,108.938944,34.249333
B0FFIK8FXO,H5移动互联网产业园,120100,商务住宅;产业园区;产业园区,高阳一路与建业二路交叉口北180米,108.877460,34.156987,108.870960,34.150987
B0L2SL74UA,LECITY10号楼,120201,商务住宅;楼宇;商务写字楼,东华林路与长善路交叉口东北140米,108.902425,34.196625,108.895925,34.190625
B0KKXDNQYM,MFG创客联邦,170200|120000,公司企业;公司;公司|商务住宅;商务住宅相关;商务住宅相关,南关正街88号MFG长安国际F8层,108.945575,34.246775,108.939075,34.240775
B0LK0R8NKT,SOHO空间,120201,商务住宅;楼宇;商务写字楼,丈八六路与锦业路交叉口东南80米,108.857325,34.193425,108.850825,34.187425
B0LA6D9ZGP,SPACE(迈瑞科技大厦店),120201,商务住宅;楼宇;商务写字楼,丈八四路与丈八西路交叉口南180米,108.868801,34.196718,108.862301,34.190718
B0KA578HCM,SPACE+迈瑞科技大厦,120201,商务住宅;楼宇;商务写字楼,丈八四路18号(丈八4路地铁站A口步行370米),108.868566,34.196589,108.862066,34.190589
B0M6FDYSK2,SPACE服务式办公空间,120201,商务住宅;楼宇;商务写字楼,天谷六路与云舒巷交叉口北120米,108.841025,34.217725,108.834525,34.211725
B0LRO6VFOF,TAR SHINE PLAZA,120201,商务住宅;楼宇;商务写字楼,丈八西路与丈八四路辅路交叉口西北60米,108.868758,34.198798,108.862258,34.192798
B0FFI6MGQD,UPWAY曲江创客大街,120100,商务住宅;产业园区;产业园区,翠华南路298号,108.957034,34.202058,108.950534,34.196058
B0G1Z76X0F,WIN国际(研祥城市广场店),120201|060000,商务住宅;楼宇;商务写字楼|购物服务;购物相关场所;购物相关场所,锦业一路与锦业七街交叉口东80米,108.871551,34.191022,108.865051,34.185022
B0LRU7DY8L,Westtang Grandeur(西唐),120000,商务住宅;商务住宅相关;商务住宅相关,省体育馆BE中心负一楼中庭Westtang Grandeur(西唐),108.887342,34.203581,108.880842,34.197581
B0KU4H0WHD,Z18青年基地,120000,商务住宅;商务住宅相关;商务住宅相关,凤林南路6号,108.878971,34.134302,108.872471,34.128302
B0FFJXS3WR,ZHONGSHENG BUILDING,120201,商务住宅;楼宇;商务写字楼,瞪羚一路中盛大厦,108.862083,34.195270,108.855583,34.189270
B0L0UCW9CM,greekyogurt,120000,商务住宅;商务住宅相关;商务住宅相关,德福巷与粉巷交叉口南200米,108.943825,34.253675,108.937325,34.247675
B0K30CKQMC,iso50轻文化社区,120000,商务住宅;商务住宅相关;商务住宅相关,大庆路134号(开远门地铁站B西南口步行200米),108.892072,34.267926,108.885572,34.261926
B0IU3CKD6M,nanstudio(际华生活广场店),120201,商务住宅;楼宇;商务写字楼,昆明路20号际华生活广场F1层,108.868617,34.251346,108.862117,34.245346
B0LRKXIMEE,一亿中流西安数智产业加速器7号楼,120100,商务住宅;产业园区;产业园区,大华股份西安数智产业园,108.834825,34.218975,108.828325,34.212975
B0FFFZYENX,一品美道,120203,商务住宅;楼宇;商住两用楼宇,高新路,108.901503,34.228975,108.895003,34.222975
B001D110SP,一针小区,120302,商务住宅;住宅区;住宅小区,宜家路与阿房三路交叉口南280米,108.846459,34.276824,108.839959,34.270824
B0L1ZLOJOB,丁家桥社区2期,120302,商务住宅;住宅区;住宅小区,科技二路辅路与鱼化一路交叉口东北100米,108.867925,34.226275,108.861425,34.220275
B0FFFGUJ33,七克拉晶座,120203,商务住宅;楼宇;商住两用楼宇,锦业路与丈八二路交叉口西200米,108.877896,34.194429,108.871396,34.188429
B001D0VCSF,七彩阳光城,120302,商务住宅;住宅区;住宅小区,枣园西路217号(枣园地铁站B1西出口步行110米),108.861767,34.280185,108.855267,34.274185
B001D092IA,七星花园,120302,商务住宅;住宅区;住宅小区,高新六路2号(丈八北路地铁站D口步行270米),108.876630,34.236475,108.870130,34.230475
