小区名称,均价(元/㎡),地址,板块,建成年份,在售套数,片区分类,经度,纬度,坐标精度,数据来源
保利天悦悦峰,,高新-科技六路 绍文路西安市第十四中学西南侧约70米,科技六路,2023,168,高新二期,108.872434,34.216471,兴趣点,房天下+高德
香榭御澄,33439,高新-科技六路 木塔一路以东科技八路以北,科技六路,2020,130,高新二期,108.899890,34.206346,住宅区,房天下+高德
万达天樾,27297,高新-科技六路 高新路延伸段科技八路南侧,科技六路,2018,127,高新二期,108.893716,34.202300,住宅区,房天下+高德
中华世纪城,15022,高新-科技路西口 西安西高新科技路西段239号,科技路西口,2010,124,高新一期,108.884696,34.240121,门址,房天下+高德
融侨城,15081,高新-大寨路 团结南路中段1号,大寨路,2011,122,高新一期,108.882160,34.246516,门址,房天下+高德
万熙天地,18036,高新-西万路口 丈八东路与西沣路交汇处东南角,西万路口,2021,111,高新二期,108.899901,34.193073,兴趣点,房天下+高德
国瑞西安金融中心,12035,高新-锦业路 锦业路10号,锦业路,2019,104,高新二期,108.882196,34.193013,门址,房天下+高德
紫薇田园都市,17120,高新-锦业路 西安市高新区新型工业园,锦业路,2005,101,高新二期,108.859759,34.173299,住宅区,房天下+高德
恒大城,11046,高新-大寨路 大寨路99号,大寨路,2010,98,高新一期,108.866984,34.245522,门址,房天下+高德
宏府麒麟山,10254,高新-大寨路 大寨路129号,大寨路,2016,97,高新一期,108.861642,34.245340,门址,房天下+高德
天地源枫林绿洲,24971,高新-科技六路 高新科技四路2号,科技六路,2008,93,高新二期,108.897500,34.214193,门址,房天下+高德
中建国熙台,19937,高新-科技路西口 团结南路200号,科技路西口,2015,91,高新一期,108.880746,34.241803,门址,房天下+高德
逸翠园四期,29750,高新-锦业路 锦业二路与博士路十字路口东南角,锦业路,2016,87,高新二期,108.869902,34.175580,道路,房天下+高德
逸翠园,26635,高新-锦业路 高新锦业二路10号,锦业路,2009,84,高新二期,108.872500,34.181293,门址,房天下+高德
中航华府,14480,高新-大寨路 丈八路与大寨路交汇处1000米,大寨路,2017,83,高新一期,108.855833,34.243322,住宅区,房天下+高德
苏宁云著,16331,高新-软件新城 云水一路与天谷五路东北角,软件新城,2022,82,软西,108.836494,34.219955,道路交叉路口,房天下+高德
万科高新华府,17117,高新-西万路口 西沣路56号,西万路口,2017,80,高新二期,108.888828,34.180173,门址,房天下+高德
都市之门写字楼,11381,高新-锦业路 锦业路1号,锦业路,2010,76,高新二期,108.888230,34.195540,门址,房天下+高德
万科翡翠国宾,28615,高新-科技六路 丈八北路与科技七路交汇处,科技六路,2021,72,高新二期,108.874458,34.206903,住宅区,房天下+高德
融城东海,7772,高新-锦业路 高新丈八六路与锦业路十字南300米,锦业路,2015,68,高新二期,108.854957,34.185664,住宅区,房天下+高德
莱安逸珲,20423,高新-科技路西口 大寨路6号,科技路西口,2015,65,高新一期,108.875706,34.243992,门址,房天下+高德
金辉高新云璟,15009,高新-大寨路 科技路与丈八北路十字向西200米,大寨路,2020,64,高新一期,108.866262,34.240298,住宅区,房天下+高德
金地中央公园,20257,高新-西万路口 沈家桥一路与西沣三路交汇处西南角,西万路口,,63,高新二期,108.897873,34.178863,道路交叉路口,房天下+高德
东方米兰,11852,高新-科技路西口 大寨路2号,科技路西口,2011,62,高新一期,108.879599,34.244622,门址,房天下+高德
香榭兰廷,22711,高新-科技六路 科技六路木塔寺公园向东500米,科技六路,2015,62,高新二期,108.901547,34.210440,小巷,房天下+高德
铭城国际社区,10765,高新-大寨路 丈八路与大寨路交汇处(恒大城向西约300米),大寨路,2015,56,高新一期,108.856496,34.246765,住宅区,房天下+高德
南海高芯悦澜,14138,高新-大寨路 科技西路与石驿路交汇处东北角,大寨路,2025,56,高新一期,108.850354,34.237861,道路交叉路口,房天下+高德
万达天玺,35026,高新-科技六路 木塔寺西路万达天玺,科技六路,2015,56,高新二期,108.892037,34.206666,住宅区,房天下+高德
高新红枫林,13557,高新-大寨路 大寨路与团结南路交汇处西北角,大寨路,2011,55,高新一期,108.878377,34.245971,住宅区,房天下+高德
昆明花园,11414,高新-大寨路 昆明路2号,大寨路,2011,55,高新一期,108.878023,34.251324,住宅区,房天下+高德
绿地世纪城,19673,高新-锦业路 高新区锦业路1号,锦业路,2008,55,高新二期,108.888230,34.195540,门址,房天下+高德
天地源丹轩坊,43303,高新-高新一中 高新路与科技三路交汇处,高新一中,2017,54,高新一期,108.897603,34.220501,道路交叉路口,房天下+高德
天地源云水天境,20853,高新-软件新城 云水二路与天谷六路交汇处西北角,软件新城,2024,54,软西,108.832419,34.216451,道路交叉路口,房天下+高德
中建群贤汇,13875,高新-科技路西口 团结南路中段3号,科技路西口,2012,51,高新一期,108.883389,34.244832,门址,房天下+高德
中国铁建瑞园,12075,高新-科技路西口 高新六路北段6号,科技路西口,2014,51,高新一期,108.876954,34.241087,门址,房天下+高德
伟业公馆,17194,高新-科技路西口 科技路与高新六路丁字路口东北角,科技路西口,2016,50,高新一期,108.877341,34.236718,道路,房天下+高德
天朗蓝湖树,14102,高新-科技路西口 丈八北路380号,科技路西口,2014,49,高新一期,108.871670,34.236353,门址,房天下+高德
中大国际九号,89622,高新-高新一中 科技三路九号,高新一中,2017,48,高新一期,108.897231,34.222482,门址,房天下+高德
旭景碧泽园,10105,高新-大寨路 丈八北路575号,大寨路,2005,47,高新一期,108.873460,34.245376,门址,房天下+高德
金辉悦府,13618,高新-大寨路 昆明路甲330号,大寨路,2016,46,高新一期,108.866705,34.251925,门址,房天下+高德
太和时代广场,13437,高新-大寨路 唐延路北段20号,大寨路,2017,46,高新一期,108.887431,34.247553,门址,房天下+高德
绿城海棠三章,25063,高新-软件新城 科技四路与化龙一路交汇处,软件新城,,45,软东,108.857023,34.219903,道路交叉路口,房天下+高德
金地西沣公元,15649,高新-西万路口 西沣路与西部大道交汇东北,西万路口,2015,45,高新二期,108.892278,34.173511,住宅区,房天下+高德
中海学仕里,28278,高新-CID中央创新区 西太路以西,CID,2025,45,高新三期,108.845299,34.155650,住宅区,房天下+高德
金泰新理城,22510,高新-科技六路 丈八四路与西户公路交汇处西北角,科技六路,2015,44,高新二期,108.865428,34.208121,道路,房天下+高德
中铁缤纷南郡,17075,高新-锦业路 丈八四路6号(科技八路与丈八四路交汇处西南角),锦业路,2013,44,高新二期,108.866473,34.203122,住宅区,房天下+高德
