名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
保利天悦悦峰,,高新-科技六路 绍文路西安市第十四中学西南侧约70米,108.861483,34.208406,高新二期,二手房,2023,168
香榭御澄,33439,"高新-科技六路 木塔一路以东,科技八路以北",108.893390,34.200346,高新二期,二手房,2020,130
万达天樾,27297,高新-科技六路 高新路延伸段科技八路南侧,108.887216,34.196300,高新一期,二手房,2018,127
中华世纪城,15022,高新-科技路西口 西安西高新科技路西段239号,108.877855,34.235130,高新一期,二手房,2010,124
融侨城,15081,高新-大寨路 团结南路中段1号,108.877461,34.241763,高新一期,二手房,2011,122
万熙天地,18036,高新-西万路口 丈八东路与西沣路交汇处东南角,108.893401,34.187073,高新二期,二手房,2021,111
紫薇田园都市,17120,高新-锦业路 西安市高新区新型工业园,108.864943,34.169846,高新二期,二手房,2005,101
恒大城,11046,高新-大寨路 大寨路99号,108.859029,34.240783,高新一期,二手房,2010,98
宏府麒麟山,10254,高新-大寨路 大寨路129号,108.855213,34.240740,高新一期,二手房,2016,97
天地源枫林绿洲,24971,高新-科技六路 高新科技四路2号,108.891049,34.208116,高新二期,二手房,2008,93
中建国熙台,19937,高新-科技路西口 团结南路200号,108.874815,34.236711,高新一期,二手房,2015,91
逸翠园四期,29750,高新-锦业路 锦业二路与博士路十字路口东南角,108.865871,34.175061,高新二期,二手房,2016,87
逸翠园,26635,高新-锦业路 高新锦业二路10号,108.872869,34.176246,高新二期,二手房,2009,84
中航华府,14480,高新-大寨路 丈八路与大寨路交汇处1000米,108.849333,34.237322,高新一期,二手房,2017,83
苏宁云著,16331,高新-软件新城 云水一路与天谷五路东北角,108.832526,34.215188,软件新城,二手房,2022,82
万科高新华府,17117,高新-西万路口 西沣路56号,108.882770,34.174366,高新二期,二手房,2017,80
万科翡翠国宾,28615,高新-科技六路 丈八北路与科技七路交汇处,108.867958,34.200903,高新二期,二手房,2021,72
莱安逸珲,20423,高新-科技路西口 大寨路6号,108.869517,34.236908,高新一期,二手房,2015,65
金辉高新云璟,15009,高新-大寨路 西安市科技路与丈八北路十字向西200米,108.859762,34.234298,高新一期,二手房,2020,64
金地中央公园,20257,高新-西万路口 沈家桥一路与西沣三路交汇处西南角,108.888229,34.170534,高新二期,二手房,,63
东方米兰,11852,高新-科技路西口 大寨路2号,108.873101,34.238109,高新一期,二手房,2011,62
香榭兰廷,22711,高新-科技六路 科技六路木塔寺公园向东500米左右,108.893940,34.203672,高新二期,二手房,2015,62
铭城国际社区,10765,高新-大寨路 丈八路与大寨路交汇处(恒大城向西约300米),108.849996,34.240765,高新一期,二手房,2015,56
南海·高芯悦澜,14138,高新-大寨路 科技西路与石驿路交汇处东北角,108.844764,34.233586,高新一期,二手房,2025,56
万达天玺,35026,高新-科技六路 (雁塔) 木塔寺西路万达天玺,108.885537,34.200666,高新二期,二手房,2015,56
高新红枫林,13557,高新-大寨路 大寨路与团结南路交汇处西北角,108.871877,34.239971,高新一期,二手房,2011,55
昆明花园,11414,高新-大寨路 昆明路2号,108.871523,34.245324,高新一期,二手房,2011,55
绿地世纪城,19673,高新-锦业路 高新区锦业路1号,108.866828,34.190285,高新二期,二手房,2008,55
天地源丹轩坊,43303,高新-高新一中 高新路与科技三路交汇处,108.889012,34.213781,高新一期,二手房,2017,54
天地源·云水天境,20853,高新-软件新城 云水二路与天谷六路交汇处西北角 高新国际会议..,108.824246,34.212319,软件新城,二手房,2024,54
中建群贤汇,13875,高新-科技路西口 团结南路中段3号,108.876812,34.238203,高新一期,二手房,2012,51
中国铁建瑞园,12075,高新-科技路西口 高新六路北段6号,108.871246,34.235378,高新一期,二手房,2014,51
伟业公馆,17194,高新-科技路西口 科技路与高新六路丁字路口东北角(科技路299..,108.871312,34.232742,高新一期,二手房,2016,50
天朗蓝湖树,14102,高新-科技路西口 丈八北路380号天朗森柏大酒店旁,108.863585,34.229333,高新一期,二手房,2014,49
中大国际九号,89622,高新-高新一中 西安市高新区科技三路九号,108.890255,34.216386,高新二期,二手房,2017,48
旭景碧泽园,10105,高新-大寨路 丈八北路575号,108.868211,34.240079,高新一期,二手房,2005,47
金辉悦府,13618,高新-大寨路 昆明路甲330号,108.860131,34.245077,高新一期,二手房,2016,46
绿城海棠三章,25063,高新-软件新城 科技四路与化龙一路交汇处,108.863286,34.210746,软件新城,二手房,,45
金地西沣公元,15649,高新-西万路口 西沣路与西部大道交汇东北(高新管委会向南50..,108.885778,34.167511,高新二期,二手房,2015,45
中海·学仕里,28278,高新-CID中央创新区 西太路以西,108.838799,34.149650,高新二期,二手房,2025,45
金泰新理城,22510,高新-科技六路 丈八四路与西户公路交汇处西北角,108.859956,34.202052,高新二期,二手房,2015,44
中铁缤纷南郡,17075,高新-锦业路 丈八四路6号(科技八路与丈八四路交汇处西南角..,108.859973,34.197122,高新二期,二手房,2013,44
天地源·丹轩梓园,57737,高新-高新一中 西安市雁塔区高新路与科技二路交汇处,108.888663,34.217612,高新一期,二手房,2012,40
云顶园,24753,高新-高新一中 高新路89号,108.891021,34.212672,高新一期,二手房,2010,40
紫薇臻品,12440,高新-科技路西口 科技路西段298号,108.873867,34.232881,高新一期,二手房,2007,40
兰亭坊,32963,高新-科技六路 高新科技六路30号,108.891126,34.203980,高新二期,二手房,2012,38
国宾中央区,19925,高新-科技六路 丈八北路南端陕西宾馆正北侧,108.866718,34.202019,高新二期,二手房,2015,36
中海华庭,13353,高新-高新四路 二环南路西段228号,108.886135,34.239181,高新一期,二手房,2006,36
枫林华府,12425,高新-大寨路 高新区科技路与团结南路十字向北500米路西,108.872497,34.241618,高新一期,二手房,2011,35
